Date,MSCI World
1978-12,10000
1979-01,10398.930905250509
1979-02,10248.849017195265
1979-03,10675.226277917642
1979-04,10778.50358279821
1979-05,10708.880944697637
1979-06,10889.84575852203
1979-07,10578.590506604152
1979-08,11036.524853554603
1979-09,11162.378098026924
1979-10,10376.16510293369
1979-11,10651.72398360166
1979-12,10690.898083358963
1980-01,11222.644152383618
1980-02,11331.976524858843
1980-03,10648.959921826556
1980-04,11481.555130843206
1980-05,11524.620863031954
1980-06,11899.479614256963
1980-07,12112.443054965368
1980-08,12593.610215946585
1980-09,12940.50819136116
1980-10,13651.988424485868
1980-11,14720.80969969001
1980-12,14852.777656733124
1981-01,14463.167712691038
1981-02,15492.392711318944
1981-03,16052.980807362164
1981-04,16486.545396880545
1981-05,17151.11818447906
1981-06,17776.102685456586
1981-07,18007.194521247326
1981-08,18130.394515906635
1981-09,16005.212422046532
1981-10,16005.92215478959
1981-11,17009.80602398687
1981-12,16876.439053870592
1982-01,16881.135392354838
1982-02,16385.868405302343
1982-03,16227.944726131596
1982-04,17285.722889362583
1982-05,16273.17833573479
1982-06,16438.284350643284
1982-07,16573.143717930932
1982-08,17882.283764432374
1982-09,18131.556845189443
1982-10,19604.697884395795
1982-11,20986.4713664931
1982-12,21023.74673104958
1983-01,21318.754321023876
1983-02,22163.51841819067
1983-03,23056.57870135659
1983-04,25056.054263461087
1983-05,24962.871570881693
1983-06,26533.105652752358
1983-07,26410.84284460705
1983-08,27411.097731117166
1983-09,27981.25780028119
1983-10,27194.328512790005
1983-11,28639.75622804067
1983-12,29738.385513379875
1984-01,30654.85931613871
1984-02,29221.455242028762
1984-03,29503.60589201104
1984-04,29913.11483894515
1984-05,28694.774730638917
1984-06,28934.331593727657
1984-07,28967.16865512922
1984-08,32229.765663017726
1984-09,33621.36624044726
1984-10,34594.62624265953
1984-11,33559.79206469479
1984-12,35609.46600893423
1985-01,38486.3587230083
1985-02,39993.182541852475
1985-03,41469.22422550362
1985-04,38489.090820548394
1985-05,40743.73145553946
1985-06,40742.04246084016
1985-07,39548.87472097862
1985-08,38498.9529361696
1985-09,39409.12599100308
1985-10,38972.698766852656
1985-11,40349.80151346892
1985-12,41237.076489579886
1986-01,40978.07138919158
1986-02,42907.85004137818
1986-03,45797.31497619826
1986-04,47298.08927667742
1986-05,46334.346426348624
1986-06,48381.8912958277
1986-07,47335.68457116948
1986-08,49922.31551687075
1986-09,47558.040732892434
1986-10,46216.703726404754
1986-11,48660.15998817887
1986-12,48918.98842075373
1987-01,51380.59265631077
1987-02,52132.908088075965
1987-03,55265.51344098956
1987-04,57738.690406181646
1987-05,57113.993754648596
1987-06,58098.78560738437
1987-07,60110.697558145344
1987-08,64152.31021935193
1987-09,61386.36991470059
1987-10,50587.01719849433
1987-11,46366.267919942205
1987-12,46897.08825092531
1988-01,48537.91486111503
1988-02,52830.337489364014
1988-03,53678.8922827356
1988-04,54021.874909011836
1988-05,53453.569837154544
1988-06,55352.12630107665
1988-07,59223.211243419464
1988-08,57212.20877076618
1988-09,59193.67146169965
1988-10,61559.61652450748
1988-11,61167.29304238174
1988-12,61772.09104022392
1989-01,66530.23651002873
